resultId,raceId,driverId,constructorId,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,dob,constructorRef,status,constructorPoints,avgPit
1,18,1,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,hamilton,1985-01-07,mclaren,Finished,14.0,74893.54398148147
2,18,2,2,5,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1,heidfeld,1977-05-10,bmw_sauber,Finished,8.0,22933.32
3,18,3,3,7,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1,rosberg,1985-06-27,williams,Finished,9.0,49760.69076305221
4,18,4,4,11,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1,alonso,1981-07-29,renault,Finished,5.0,69458.58670520231
5,18,5,1,3,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1,kovalainen,1981-10-19,mclaren,Finished,14.0,24608.666666666668
6,18,6,3,13,6,6,3.0,57,\N,\N,50,14,1:29.639,212.974,11,nakajima,1985-01-11,williams,+1 Lap,9.0,
7,18,7,5,17,7,7,2.0,55,\N,\N,22,12,1:29.534,213.224,5,bourdais,1979-02-28,toro_rosso,Engine,2.0,
8,18,8,6,15,8,8,1.0,53,\N,\N,20,4,1:27.903,217.180,5,raikkonen,1979-10-17,ferrari,Engine,1.0,77797.62640449438
9,18,9,2,2,\N,9,0.0,47,\N,\N,15,9,1:28.753,215.100,4,kubica,1984-12-07,bmw_sauber,Collision,8.0,24428.738095238095
10,18,10,7,18,\N,10,0.0,43,\N,\N,23,13,1:29.558,213.166,3,glock,1982-03-18,toyota,Accident,,23743.946666666667
11,18,11,8,19,\N,11,0.0,32,\N,\N,24,15,1:30.892,210.038,7,sato,1977-01-28,super_aguri,Transmission,,
12,18,12,4,20,\N,12,0.0,30,\N,\N,20,16,1:31.384,208.907,8,piquet_jr,1985-07-25,renault,Clutch,5.0,
