,resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,dob,constructorRef,status,constructorPoints,avgPit,circuitRef
0,1,18,1,1,1,1,10.0,58,0.0,5690616.0,2.0,2022-07-29 01:27:27,218.3,1,hamilton,1985-01-07,mclaren,Finished,14.0,74893.54398148147,albert_park
1,2,18,2,2,5,2,8.0,58,5.478,5696094.0,3.0,2022-07-29 01:27:44,217.586,1,heidfeld,1977-05-10,bmw_sauber,Finished,8.0,22933.32,albert_park
2,3,18,3,3,7,3,6.0,58,8.163,5698779.0,5.0,2022-07-29 01:28:05,216.719,1,rosberg,1985-06-27,williams,Finished,9.0,49760.69076305221,albert_park
3,4,18,4,4,11,4,5.0,58,17.181,5707797.0,7.0,2022-07-29 01:28:36,215.464,1,alonso,1981-07-29,renault,Finished,5.0,69458.58670520231,albert_park
4,5,18,5,1,3,5,4.0,58,18.014,5708630.0,1.0,2022-07-29 01:27:25,218.385,1,kovalainen,1981-10-19,mclaren,Finished,14.0,24608.666666666668,albert_park
5,6,18,6,3,13,6,3.0,57,,,14.0,2022-07-29 01:29:38,212.974,11,nakajima,1985-01-11,williams,+1 Lap,9.0,,albert_park
6,7,18,7,5,17,7,2.0,55,,,12.0,2022-07-29 01:29:32,213.224,5,bourdais,1979-02-28,toro_rosso,Engine,2.0,,albert_park
7,8,18,8,6,15,8,1.0,53,,,4.0,2022-07-29 01:27:54,217.18,5,raikkonen,1979-10-17,ferrari,Engine,1.0,77797.62640449438,albert_park
8,9,18,9,2,2,9,0.0,47,,,9.0,2022-07-29 01:28:45,215.1,4,kubica,1984-12-07,bmw_sauber,Collision,8.0,24428.73809523809,albert_park
9,10,18,10,7,18,10,0.0,43,,,13.0,2022-07-29 01:29:33,213.166,3,glock,1982-03-18,toyota,Accident,,23743.946666666667,albert_park
10,11,18,11,8,19,11,0.0,32,,,15.0,2022-07-29 01:30:53,210.038,7,sato,1977-01-28,super_aguri,Transmission,,,albert_park
11,12,18,12,4,20,12,0.0,30,,,16.0,2022-07-29 01:31:23,208.907,8,piquet_jr,1985-07-25,renault,Clutch,5.0,,albert_park
