,raceId,grid,positionOrder,points,laps,time,milliseconds,rank,dob,constructorPoints,avgPit,avgFlyingLap,driverRef_aitken,driverRef_albon,driverRef_alguersuari,driverRef_alonso,driverRef_ambrosio,driverRef_bottas,driverRef_brendon_hartley,driverRef_bruno_senna,driverRef_buemi,driverRef_chandhok,driverRef_chilton,driverRef_doornbos,driverRef_ericsson,driverRef_garde,driverRef_gasly,driverRef_giovinazzi,driverRef_glock,driverRef_grassi,driverRef_grosjean,driverRef_gutierrez,driverRef_hamilton,driverRef_haryanto,driverRef_hulkenberg,driverRef_jolyon_palmer,driverRef_jules_bianchi,driverRef_kevin_magnussen,driverRef_klien,driverRef_kobayashi,driverRef_kovalainen,driverRef_kubica,driverRef_kvyat,driverRef_latifi,driverRef_leclerc,driverRef_lotterer,driverRef_maldonado,driverRef_max_verstappen,driverRef_mazepin,driverRef_merhi,driverRef_mick_schumacher,driverRef_nakajima,driverRef_nasr,driverRef_norris,driverRef_ocon,driverRef_perez,driverRef_petrov,driverRef_pic,driverRef_pietro_fittipaldi,driverRef_piquet_jr,driverRef_resta,driverRef_ricciardo,driverRef_rosberg,driverRef_rossi,driverRef_russell,driverRef_sainz,driverRef_sirotkin,driverRef_speed,driverRef_stevens,driverRef_stroll,driverRef_sutil,driverRef_tsunoda,driverRef_vandoorne,driverRef_vergne,driverRef_vettel,driverRef_wehrlein,driverRef_yamamoto,constructorRef_alfa,constructorRef_alphatauri,constructorRef_alpine,constructorRef_aston_martin,constructorRef_bmw_sauber,constructorRef_caterham,constructorRef_ferrari,constructorRef_force_india,constructorRef_haas,constructorRef_hrt,constructorRef_jaguar,constructorRef_jordan,constructorRef_lotus_f1,constructorRef_lotus_racing,constructorRef_manor,constructorRef_marussia,constructorRef_mclaren,constructorRef_mercedes,constructorRef_minardi,constructorRef_racing_point,constructorRef_red_bull,constructorRef_renault,constructorRef_sauber,constructorRef_spyker,constructorRef_super_aguri,constructorRef_toro_rosso,constructorRef_toyota,constructorRef_virgin,constructorRef_williams,status_+1 Lap,status_+10 Laps,status_+11 Laps,status_+14 Laps,status_+2 Laps,status_+3 Laps,status_+4 Laps,status_+5 Laps,status_+6 Laps,status_+8 Laps,status_+9 Laps,status_Accident,status_Alternator,status_Battery,status_Brakes,status_Clutch,status_Collision,status_Collision damage,status_Damage,status_Debris,status_Disqualified,status_Driver Seat,status_Driveshaft,status_Drivetrain,status_ERS,status_Electrical,status_Electronics,status_Engine,status_Engine misfire,status_Exhaust,status_Finished,status_Front wing,status_Fuel pressure,status_Fuel pump,status_Fuel system,status_Gearbox,status_Hydraulics,status_Illness,status_Injured,status_Injury,status_Mechanical,status_Oil leak,status_Oil pressure,status_Out of fuel,status_Overheating,status_Pneumatics,status_Power Unit,status_Power loss,status_Puncture,status_Radiator,status_Rear wing,status_Retired,status_Seat,status_Spark plugs,status_Spun off,status_Steering,status_Suspension,status_Technical,status_Throttle,status_Track rod,status_Transmission,status_Turbo,status_Tyre,status_Vibrations,status_Water leak,status_Water pressure,status_Wheel,status_Wheel nut,status_Withdrew,circuitRef_BAK,circuitRef_albert_park,circuitRef_americas,circuitRef_bahrain,circuitRef_buddh,circuitRef_catalunya,circuitRef_fuji,circuitRef_hockenheimring,circuitRef_hungaroring,circuitRef_imola,circuitRef_indianapolis,circuitRef_interlagos,circuitRef_istanbul,circuitRef_jeddah,circuitRef_losail,circuitRef_magny_cours,circuitRef_marina_bay,circuitRef_monaco,circuitRef_monza,circuitRef_mugello,circuitRef_nurburgring,circuitRef_osterreichring,circuitRef_portimao,circuitRef_red_bull_ring,circuitRef_ricard,circuitRef_rodriguez,circuitRef_sepang,circuitRef_shanghai,circuitRef_silverstone,circuitRef_sochi,circuitRef_spa,circuitRef_suzuka,circuitRef_valencia,circuitRef_villeneuve,circuitRef_yas_marina,circuitRef_yeongam,circuitRef_zandvoort
0,18,1,1,10.0,58,0.0,5690616.0,2.0,473904000000000000,14.0,74893.54398148147,205.44709722222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18,7,3,6.0,58,8.163,5698779.0,5.0,488678400000000000,9.0,49760.69076305221,200.99307281553396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,11,4,5.0,58,17.181,5707797.0,7.0,365212800000000000,5.0,69458.58670520231,206.05581547619047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18,3,5,4.0,58,18.014,5708630.0,1.0,372297600000000000,14.0,24608.666666666668,198.78559821428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,13,6,3.0,57,18.014,5708630.0,14.0,474249600000000000,9.0,74893.54398148147,202.03266666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18,2,9,0.0,47,18.014,5708630.0,9.0,471225600000000000,8.0,24428.73809523809,203.79525252525252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18,18,10,0.0,43,18.014,5708630.0,13.0,385257600000000000,0.0,23743.946666666667,197.2775157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18,20,12,0.0,30,18.014,5708630.0,16.0,491097600000000000,5.0,74893.54398148147,199.44185714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,22,16,0.0,8,18.014,5708630.0,17.0,411091200000000000,0.0,34640.10743801653,198.797140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18,9,20,0.0,0,18.014,5708630.0,17.0,552268800000000000,2.0,71738.98139534883,205.27856428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
